"","question","scenario","rating","recall","realrate","know","num_uid","physical","document","witness","character"
"2064",17,17,10,8,57,24,68,"ambiguous","clear_ex","clear_in","clear_ex"
"2065",18,8,9,12,38,15,68,"ambiguous","clear_in","ambiguous","clear_ex"
"2066",19,24,81,72,77,38,68,"ambiguous","ambiguous","clear_in","clear_in"
"2067",20,7,91,84,67,58,68,"ambiguous","none","clear_in","none"
"2068",21,13,98,95,100,82,68,"none","clear_in","clear_in","none"
"2069",22,20,96,89,85,61,68,"clear_in","clear_in","none","clear_in"
"2070",23,12,91,62,86,57,68,"clear_in","clear_in","clear_ex","none"
"2071",24,29,72,65,62,41,68,"none","clear_in","none","none"
"2072",25,4,90,58,86,55,68,"clear_ex","clear_in","none","none"
"2073",26,5,94,65,90,52,68,"clear_in","clear_ex","none","clear_in"
"2074",27,18,51,65,81,38,68,"clear_in","none","none","none"
"2075",28,6,63,42,67,63,68,"ambiguous","clear_ex","clear_in","none"
"2076",29,11,68,40,53,46,68,"ambiguous","clear_in","clear_ex","none"
"2077",30,15,97,65,70,42,68,"ambiguous","clear_in","none","clear_in"
"2078",0,27,91,88,98,86,69,"clear_in","clear_in","clear_ex","clear_in"
"2079",1,5,41,47,60,31,69,"clear_in","ambiguous","clear_ex","none"
"2080",2,29,44,32,80,30,69,"ambiguous","clear_in","clear_in","clear_in"
"2081",3,30,21,79,70,28,69,"clear_ex","clear_in","clear_ex","clear_in"
"2082",4,4,7,8,8,8,69,"none","clear_in","none","none"
"2083",5,1,34,79,80,78,69,"ambiguous","clear_in","none","clear_ex"
"2084",6,26,77,81,25,43,69,"none","none","clear_in","clear_ex"
"2085",7,25,98,100,80,44,69,"clear_in","clear_ex","none","none"
"2086",8,22,62,60,71,23,69,"ambiguous","clear_ex","clear_in","clear_ex"
"2087",9,9,12,17,8,17,69,"clear_in","none","ambiguous","none"
"2088",10,20,76,31,32,29,69,"none","clear_in","ambiguous","none"
"2089",11,18,84,43,41,29,69,"clear_in","none","clear_in","clear_in"
"2090",12,7,92,81,82,84,69,"clear_in","ambiguous","clear_in","clear_in"
"2091",13,28,89,83,31,79,69,"none","clear_ex","clear_in","clear_in"
"2092",14,14,93,85,85,85,69,"clear_ex","clear_in","clear_in","none"
"2093",15,21,85,46,40,29,69,"ambiguous","ambiguous","clear_in","none"
"2094",16,23,25,17,57,43,69,"clear_in","clear_ex","none","clear_in"
"2095",17,24,95,73,80,69,69,"none","clear_in","clear_in","clear_in"
"2096",18,13,20,87,57,86,69,"clear_ex","none","clear_in","none"
"2097",19,11,35,34,60,33,69,"clear_in","ambiguous","none","clear_in"
"2098",20,8,61,61,60,59,69,"none","clear_in","ambiguous","clear_in"
"2099",21,31,69,66,84,62,69,"none","none","clear_in","none"
"2100",22,10,95,81,81,44,69,"none","ambiguous","clear_in","none"
"2101",23,6,90,86,75,55,69,"clear_in","clear_in","none","none"
"2102",24,19,11,21,41,24,69,"clear_ex","clear_ex","clear_in","clear_in"
"2103",25,2,40,18,77,43,69,"clear_ex","clear_in","none","clear_in"
"2104",26,16,12,69,77,49,69,"ambiguous","clear_in","ambiguous","clear_ex"
"2105",27,3,8,59,77,66,69,"clear_in","clear_ex","ambiguous","clear_ex"
"2106",28,17,36,27,48,35,69,"ambiguous","clear_in","ambiguous","none"
"2107",29,12,30,86,86,74,69,"clear_in","none","clear_ex","clear_in"
"2108",30,15,93,77,84,80,69,"ambiguous","clear_in","none","none"
"2109",0,2,22,34,80,32,70,"none","clear_in","ambiguous","none"
"2110",1,17,36,5,37,27,70,"none","ambiguous","clear_in","clear_in"
"2111",2,18,29,6,59,37,70,"clear_in","ambiguous","clear_ex","clear_ex"
"2112",3,15,73,47,84,58,70,"clear_in","clear_in","clear_in","none"
"2113",4,25,63,14,79,43,70,"ambiguous","none","clear_in","none"
"2114",5,26,33,1,36,20,70,"ambiguous","none","clear_in","clear_ex"
"2115",6,31,69,8,72,30,70,"ambiguous","clear_in","none","none"
"2116",7,8,62,1,37,0,70,"ambiguous","clear_in","none","clear_ex"
"2117",8,22,80,1,58,15,70,"none","clear_in","clear_in","clear_ex"
"2118",9,28,30,1,55,24,70,"none","none","clear_in","clear_in"
"2119",10,23,76,1,79,17,70,"clear_in","none","ambiguous","none"
"2120",11,29,23,1,69,11,70,"clear_ex","none","clear_in","clear_in"
"2121",12,14,73,0,57,1,70,"clear_in","clear_ex","none","clear_in"
"2122",13,27,61,85,98,82,70,"clear_ex","clear_in","clear_in","clear_in"
"2123",14,4,26,0,42,5,70,"clear_in","none","clear_ex","none"
"2124",15,11,88,1,81,43,70,"clear_in","ambiguous","none","clear_in"
"2125",16,30,37,1,64,22,70,"ambiguous","ambiguous","clear_in","none"
"2126",17,12,72,0,58,16,70,"clear_in","clear_in","ambiguous","clear_in"
"2127",18,24,71,1,69,2,70,"clear_in","ambiguous","clear_in","clear_in"
"2128",19,5,27,1,53,0,70,"none","clear_ex","clear_in","none"
"2129",20,13,85,0,66,7,70,"none","clear_in","none","none"
"2130",21,9,82,1,84,9,70,"clear_in","none","clear_in","clear_ex"
"2131",22,20,20,0,40,5,70,"clear_in","clear_ex","clear_in","none"
"2132",23,7,60,0,35,0,70,"clear_ex","clear_in","clear_in","none"
"2133",24,1,54,1,90,68,70,"clear_in","none","none","clear_in"
"2134",25,6,65,78,100,72,70,"ambiguous","none","clear_in","clear_in"
"2135",26,19,31,1,40,11,70,"none","clear_in","ambiguous","clear_ex"
"2136",27,16,26,1,33,7,70,"clear_in","clear_in","clear_ex","clear_ex"
"2137",28,21,73,1,66,15,70,"clear_in","ambiguous","clear_ex","clear_in"
"2138",29,10,50,0,26,1,70,"none","ambiguous","clear_in","clear_ex"
"2139",30,3,63,0,31,0,70,"ambiguous","clear_in","none","clear_in"
"2140",0,27,61,10,76,36,71,"ambiguous","clear_in","clear_ex","none"
"2141",1,18,58,6,76,48,71,"clear_in","clear_in","clear_ex","clear_ex"
